complaint_text,issue_type
Damaged road surface on Oak Street needs fixing,road_damage
Potholes are damaging vehicles on Cedar Street,pothole
Damaged road surface on Oak Street needs fixing,road_damage
There is a major water pipe leak on Oak Street,water_leakage
Traffic signals are malfunctioning at 5th Avenue intersection,traffic_signal
Garbage is not collected for weeks in Park Lane,garbage
There is a large pothole on Pine Road causing danger,pothole
Sewage water stagnating on MG Road road,sewage
Huge pothole near Pine Road needs urgent repair,pothole
Clean the park area near 5th Avenue,park_maintenance
Repair the damaged road near Birch Avenue,road_damage
Toilet cleanliness is poor at Oak Street park,sanitation
Noise pollution from Cedar Street is unbearable,noise
Sewage water is leaking on MG Road street,sewage
Unsafe road conditions on Pine Road street,road_damage
There is a major water pipe leak on Park Lane,water_leakage
Constant water leakage on Pine Road is wasting water,water_leakage
Garbage piles near Birch Avenue are attracting rats,garbage
Road is cracked and unsafe on Main Street,road_damage
Traffic signals are malfunctioning at Main Street intersection,traffic_signal
High noise levels from Maple Avenue factory,noise
Dark street due to faulty streetlights on Elm Street,streetlight
There is a large pothole on Birch Avenue causing danger,pothole
Children cannot play at Birch Avenue park due to trash,park_maintenance
Fix public sanitation issues at Cedar Street,sanitation
Huge pothole near Park Lane needs urgent repair,pothole
Water leakage near Park Lane has damaged the street,water_leakage
Fix sewage leakage near Maple Avenue immediately,sewage
Traffic signals are malfunctioning at Birch Avenue intersection,traffic_signal
Many street lights off on MG Road road,streetlight
Broken traffic light on Maple Avenue road causing traffic jams,traffic_signal
Public toilet near Birch Avenue is dirty and unusable,sanitation
Fix streetlight on Park Lane quickly for safety,streetlight
Broken traffic light on Birch Avenue road causing traffic jams,traffic_signal
Traffic signal timing is wrong on Main Street,traffic_signal
Broken traffic light on MG Road road causing traffic jams,traffic_signal
Toilet cleanliness is poor at Cedar Street park,sanitation
Street lights are not working properly at Maple Avenue,streetlight
Dark street due to faulty streetlights on Elm Street,streetlight
Overflowing garbage bins at Oak Street need cleaning,garbage
Unsafe road conditions on Pine Road street,road_damage
Toilet cleanliness is poor at Elm Street park,sanitation
Sanitation facilities at 5th Avenue need improvement,sanitation
Unsafe road conditions on Maple Avenue street,road_damage
Traffic signals on Pine Road are not working,traffic_signal
Dark street due to faulty streetlights on Elm Street,streetlight
Loud noise from construction site at Main Street is disturbing,noise
Clean the park area near Elm Street,park_maintenance
Road potholes and cracks on 5th Avenue,road_damage
Loud noise from construction site at MG Road is disturbing,noise
Street lights are not working properly at Park Lane,streetlight
Constant water leakage on Elm Street is wasting water,water_leakage
Clean the park area near MG Road,park_maintenance
Fix streetlight on Elm Street quickly for safety,streetlight
Fix sewage leakage near Oak Street immediately,sewage
Water is leaking from the pipe near Park Lane,water_leakage
Traffic signals are malfunctioning at MG Road intersection,traffic_signal
Park maintenance is poor at 5th Avenue,park_maintenance
Huge pothole near Cedar Street needs urgent repair,pothole
Many street lights off on Oak Street road,streetlight
Please clean garbage from 5th Avenue street,garbage
Damaged road surface on 5th Avenue needs fixing,road_damage
Toilet cleanliness is poor at Elm Street park,sanitation
Damaged road surface on Pine Road needs fixing,road_damage
Toilet cleanliness is poor at Oak Street park,sanitation
Park facilities at Cedar Street need repair,park_maintenance
Constant noise near Park Lane affecting residents,noise
Urgent repair needed for traffic lights at Elm Street,traffic_signal
Please control noise at Pine Road during nights,noise
Potholes are damaging vehicles on Oak Street,pothole
Broken traffic light on MG Road road causing traffic jams,traffic_signal
Repair the damaged road near Maple Avenue,road_damage
Road is cracked and unsafe on 5th Avenue,road_damage
Please clean garbage from Cedar Street street,garbage
Children cannot play at Maple Avenue park due to trash,park_maintenance
Street lights are not working properly at MG Road,streetlight
Toilet cleanliness is poor at Pine Road park,sanitation
High noise levels from Pine Road factory,noise
Traffic signal timing is wrong on Oak Street,traffic_signal
Fix water leakage issue on Pine Road immediately,water_leakage
Street lights are not working properly at 5th Avenue,streetlight
Park facilities at Elm Street need repair,park_maintenance
Poor lighting on MG Road at night is dangerous,streetlight
Garbage dumping near Cedar Street is causing health issues,garbage
High noise levels from Pine Road factory,noise
Traffic signals on Oak Street are not working,traffic_signal
There is a major water pipe leak on 5th Avenue,water_leakage
Sewage water is leaking on Main Street street,sewage
Garbage piles near Oak Street are attracting rats,garbage
Garbage dumping near Elm Street is causing health issues,garbage
Many potholes along Cedar Street street making it unsafe,pothole
Please clean garbage from Elm Street street,garbage
Sewage water stagnating on Birch Avenue road,sewage
Traffic signals are malfunctioning at Elm Street intersection,traffic_signal
Overflowing garbage bins at Maple Avenue need cleaning,garbage
Clean the park area near Park Lane,park_maintenance
Public toilet near Elm Street is dirty and unusable,sanitation
Toilet cleanliness is poor at Cedar Street park,sanitation
The park near Pine Road is full of broken benches and trash,park_maintenance
Garbage dumping near Birch Avenue is causing health issues,garbage
Traffic signals on MG Road are not working,traffic_signal
There is a large pothole on MG Road causing danger,pothole
Park maintenance is poor at Pine Road,park_maintenance
The park near MG Road is full of broken benches and trash,park_maintenance
Sewage smell in the alley near Park Lane is unbearable,sewage
Park maintenance is poor at Oak Street,park_maintenance
Poor lighting on Pine Road at night is dangerous,streetlight
Please clean garbage from Maple Avenue street,garbage
Fix streetlight on Park Lane quickly for safety,streetlight
Clean the park area near Main Street,park_maintenance
Traffic signal timing is wrong on Park Lane,traffic_signal
Traffic signals on Main Street are not working,traffic_signal
Dark street due to faulty streetlights on 5th Avenue,streetlight
Potholes are damaging vehicles on Oak Street,pothole
Please control noise at Maple Avenue during nights,noise
Potholes are damaging vehicles on Park Lane,pothole
Street lights are not working properly at Oak Street,streetlight
Damaged road surface on Pine Road needs fixing,road_damage
Sewage smell in the alley near Birch Avenue is unbearable,sewage
Many potholes along 5th Avenue street making it unsafe,pothole
Park maintenance is poor at Maple Avenue,park_maintenance
Constant water leakage on Maple Avenue is wasting water,water_leakage
Many potholes along Maple Avenue street making it unsafe,pothole
Fix public sanitation issues at MG Road,sanitation
Dangerous pothole on Main Street road is causing accidents,pothole
Sanitation problem near Oak Street market,sanitation
Fix streetlight on Park Lane quickly for safety,streetlight
Constant noise near Maple Avenue affecting residents,noise
Road potholes and cracks on Maple Avenue,road_damage
Traffic signals are malfunctioning at 5th Avenue intersection,traffic_signal
Loud noise from construction site at Elm Street is disturbing,noise
Road is cracked and unsafe on 5th Avenue,road_damage
Road is cracked and unsafe on Pine Road,road_damage
Sanitation facilities at MG Road need improvement,sanitation
Broken traffic light on Elm Street road causing traffic jams,traffic_signal
There is a large pothole on 5th Avenue causing danger,pothole
Constant water leakage on Park Lane is wasting water,water_leakage
Many street lights off on Cedar Street road,streetlight
Unsafe road conditions on Pine Road street,road_damage
Unsafe road conditions on Birch Avenue street,road_damage
Loud noise from construction site at Cedar Street is disturbing,noise
Damaged road surface on Main Street needs fixing,road_damage
Constant water leakage on Oak Street is wasting water,water_leakage
Sewage water stagnating on Main Street road,sewage
Open sewage on Pine Road is a health hazard,sewage
Many street lights off on MG Road road,streetlight
Please clean garbage from Park Lane street,garbage
Garbage is not collected for weeks in Birch Avenue,garbage
Street lights are not working properly at Park Lane,streetlight
Traffic signals on Elm Street are not working,traffic_signal
Street lights are not working properly at MG Road,streetlight
Fix public sanitation issues at Oak Street,sanitation
Potholes are damaging vehicles on Oak Street,pothole
Loud noise from construction site at Cedar Street is disturbing,noise
Traffic signal timing is wrong on 5th Avenue,traffic_signal
Sewage water is leaking on Park Lane street,sewage
Loud noise from construction site at Birch Avenue is disturbing,noise
Traffic signals are malfunctioning at Main Street intersection,traffic_signal
Traffic signal timing is wrong on Cedar Street,traffic_signal
Open sewage on 5th Avenue is a health hazard,sewage
The park near MG Road is full of broken benches and trash,park_maintenance
Sewage water is leaking on Oak Street street,sewage
Please clean garbage from Park Lane street,garbage
Garbage piles near Oak Street are attracting rats,garbage
Poor lighting on Park Lane at night is dangerous,streetlight
Toilet cleanliness is poor at Oak Street park,sanitation
Park facilities at Birch Avenue need repair,park_maintenance
Dangerous pothole on Birch Avenue road is causing accidents,pothole
Open sewage on Pine Road is a health hazard,sewage
Fix streetlight on Pine Road quickly for safety,streetlight
Constant water leakage on Pine Road is wasting water,water_leakage
Water is leaking from the pipe near Birch Avenue,water_leakage
Fix streetlight on Birch Avenue quickly for safety,streetlight
Repair the damaged road near Elm Street,road_damage
Garbage is not collected for weeks in Oak Street,garbage
Road potholes and cracks on Pine Road,road_damage
Road potholes and cracks on Park Lane,road_damage
Unsafe road conditions on Maple Avenue street,road_damage
Toilet cleanliness is poor at Birch Avenue park,sanitation
Huge pothole near Elm Street needs urgent repair,pothole
High noise levels from MG Road factory,noise
Sewage smell in the alley near 5th Avenue is unbearable,sewage
Constant noise near 5th Avenue affecting residents,noise
Water is leaking from the pipe near Cedar Street,water_leakage
Dark street due to faulty streetlights on MG Road,streetlight
Sewage water stagnating on Birch Avenue road,sewage
Fix public sanitation issues at Main Street,sanitation
Children cannot play at Elm Street park due to trash,park_maintenance
Fix streetlight on Elm Street quickly for safety,streetlight
Unsafe road conditions on Maple Avenue street,road_damage
Damaged road surface on Elm Street needs fixing,road_damage
Water leakage near Cedar Street has damaged the street,water_leakage
Constant water leakage on Maple Avenue is wasting water,water_leakage
Park maintenance is poor at Park Lane,park_maintenance
There is a large pothole on MG Road causing danger,pothole
Sewage water stagnating on Cedar Street road,sewage
Please clean garbage from Elm Street street,garbage
Water is leaking from the pipe near MG Road,water_leakage
Garbage is not collected for weeks in Maple Avenue,garbage
Traffic signals on MG Road are not working,traffic_signal
Park maintenance is poor at Pine Road,park_maintenance
Fix sewage leakage near MG Road immediately,sewage
Water is leaking from the pipe near Maple Avenue,water_leakage
Broken traffic light on Park Lane road causing traffic jams,traffic_signal
Fix sewage leakage near Park Lane immediately,sewage
Many potholes along Cedar Street street making it unsafe,pothole
There is a major water pipe leak on 5th Avenue,water_leakage
High noise levels from Park Lane factory,noise
Unsafe road conditions on Oak Street street,road_damage
Huge pothole near Maple Avenue needs urgent repair,pothole
There is a large pothole on Main Street causing danger,pothole
Water is leaking from the pipe near Cedar Street,water_leakage
Please control noise at Oak Street during nights,noise
Please control noise at Elm Street during nights,noise
Sewage smell in the alley near Main Street is unbearable,sewage
Water is leaking from the pipe near Oak Street,water_leakage
Please control noise at Pine Road during nights,noise
Poor lighting on Park Lane at night is dangerous,streetlight
Traffic signals are malfunctioning at Pine Road intersection,traffic_signal
Garbage piles near Cedar Street are attracting rats,garbage
Road is cracked and unsafe on Elm Street,road_damage
Traffic signals are malfunctioning at Park Lane intersection,traffic_signal
Park maintenance is poor at Elm Street,park_maintenance
Dark street due to faulty streetlights on Elm Street,streetlight
Many street lights off on Maple Avenue road,streetlight
Urgent repair needed for traffic lights at Park Lane,traffic_signal
Water is leaking from the pipe near Main Street,water_leakage
Park maintenance is poor at Pine Road,park_maintenance
Road is cracked and unsafe on Main Street,road_damage
Please control noise at Main Street during nights,noise
Please clean garbage from Main Street street,garbage
Fix sewage leakage near Pine Road immediately,sewage
Poor lighting on 5th Avenue at night is dangerous,streetlight
Fix public sanitation issues at Oak Street,sanitation
Broken traffic light on Oak Street road causing traffic jams,traffic_signal
Street lights are not working properly at Pine Road,streetlight
Repair the damaged road near Cedar Street,road_damage
Noise pollution from Main Street is unbearable,noise
Road is cracked and unsafe on Birch Avenue,road_damage
Overflowing garbage bins at Oak Street need cleaning,garbage
Garbage dumping near MG Road is causing health issues,garbage
Many potholes along Park Lane street making it unsafe,pothole
Overflowing garbage bins at Oak Street need cleaning,garbage
Broken traffic light on MG Road road causing traffic jams,traffic_signal
Public toilet near Pine Road is dirty and unusable,sanitation
Clean the park area near Elm Street,park_maintenance
Sewage smell in the alley near 5th Avenue is unbearable,sewage
Poor lighting on 5th Avenue at night is dangerous,streetlight
Please clean garbage from MG Road street,garbage
Constant water leakage on Birch Avenue is wasting water,water_leakage
Overflowing garbage bins at Maple Avenue need cleaning,garbage
Sewage smell in the alley near 5th Avenue is unbearable,sewage
Garbage is not collected for weeks in Maple Avenue,garbage
Dangerous pothole on Pine Road road is causing accidents,pothole
Constant water leakage on Oak Street is wasting water,water_leakage
Water leakage near Main Street has damaged the street,water_leakage
Park maintenance is poor at Birch Avenue,park_maintenance
Overflowing garbage bins at Cedar Street need cleaning,garbage
Many street lights off on 5th Avenue road,streetlight
Toilet cleanliness is poor at Birch Avenue park,sanitation
Fix public sanitation issues at Park Lane,sanitation
Sanitation facilities at Oak Street need improvement,sanitation
Road potholes and cracks on Birch Avenue,road_damage
Many street lights off on 5th Avenue road,streetlight
Broken traffic light on MG Road road causing traffic jams,traffic_signal
Open sewage on Cedar Street is a health hazard,sewage
Many street lights off on 5th Avenue road,streetlight
Damaged road surface on Birch Avenue needs fixing,road_damage
Garbage dumping near Cedar Street is causing health issues,garbage
Dark street due to faulty streetlights on Elm Street,streetlight
Sanitation problem near Main Street market,sanitation
Street lights are not working properly at Main Street,streetlight
Dark street due to faulty streetlights on MG Road,streetlight
Garbage piles near Pine Road are attracting rats,garbage
Water is leaking from the pipe near Elm Street,water_leakage
Fix sewage leakage near MG Road immediately,sewage
Water leakage near Cedar Street has damaged the street,water_leakage
Sanitation problem near 5th Avenue market,sanitation
Fix public sanitation issues at Maple Avenue,sanitation
Poor lighting on Pine Road at night is dangerous,streetlight
Public toilet near Birch Avenue is dirty and unusable,sanitation
Poor lighting on Main Street at night is dangerous,streetlight
High noise levels from Oak Street factory,noise
High noise levels from Birch Avenue factory,noise
Toilet cleanliness is poor at MG Road park,sanitation
Poor lighting on Elm Street at night is dangerous,streetlight
Huge pothole near 5th Avenue needs urgent repair,pothole
Many street lights off on Oak Street road,streetlight
Road potholes and cracks on Main Street,road_damage
Garbage piles near Elm Street are attracting rats,garbage
Repair the damaged road near 5th Avenue,road_damage
Dangerous pothole on Birch Avenue road is causing accidents,pothole
Park facilities at Birch Avenue need repair,park_maintenance
Clean the park area near Birch Avenue,park_maintenance
Constant water leakage on MG Road is wasting water,water_leakage
Fix sewage leakage near Birch Avenue immediately,sewage
Constant noise near Cedar Street affecting residents,noise
Constant noise near Pine Road affecting residents,noise
Garbage piles near MG Road are attracting rats,garbage
Poor lighting on Cedar Street at night is dangerous,streetlight
Traffic signals are malfunctioning at MG Road intersection,traffic_signal
Please control noise at Cedar Street during nights,noise
Water leakage near Pine Road has damaged the street,water_leakage
The park near Oak Street is full of broken benches and trash,park_maintenance
Park facilities at MG Road need repair,park_maintenance
Constant water leakage on MG Road is wasting water,water_leakage
Noise pollution from Maple Avenue is unbearable,noise
Road potholes and cracks on Elm Street,road_damage
Garbage piles near 5th Avenue are attracting rats,garbage
Fix water leakage issue on Pine Road immediately,water_leakage
Urgent repair needed for traffic lights at Cedar Street,traffic_signal
Street lights are not working properly at 5th Avenue,streetlight
Sewage smell in the alley near Birch Avenue is unbearable,sewage
There is a major water pipe leak on Cedar Street,water_leakage
Traffic signals are malfunctioning at 5th Avenue intersection,traffic_signal
Many street lights off on MG Road road,streetlight
Potholes are damaging vehicles on Main Street,pothole
Huge pothole near Pine Road needs urgent repair,pothole
Please clean garbage from 5th Avenue street,garbage
Please control noise at Oak Street during nights,noise
Poor lighting on 5th Avenue at night is dangerous,streetlight
Please clean garbage from Main Street street,garbage
Constant water leakage on Pine Road is wasting water,water_leakage
Repair the damaged road near Maple Avenue,road_damage
Poor lighting on Cedar Street at night is dangerous,streetlight
Huge pothole near 5th Avenue needs urgent repair,pothole
Sanitation problem near 5th Avenue market,sanitation
Please control noise at Main Street during nights,noise
Park facilities at MG Road need repair,park_maintenance
Sewage smell in the alley near Pine Road is unbearable,sewage
Urgent repair needed for traffic lights at Birch Avenue,traffic_signal
Garbage dumping near Oak Street is causing health issues,garbage
There is a large pothole on Oak Street causing danger,pothole
Fix streetlight on Pine Road quickly for safety,streetlight
Many street lights off on Park Lane road,streetlight
Fix public sanitation issues at Cedar Street,sanitation
Poor lighting on Oak Street at night is dangerous,streetlight
Road is cracked and unsafe on Elm Street,road_damage
Huge pothole near Cedar Street needs urgent repair,pothole
Broken traffic light on Maple Avenue road causing traffic jams,traffic_signal
Sanitation facilities at 5th Avenue need improvement,sanitation
Damaged road surface on MG Road needs fixing,road_damage
Noise pollution from Maple Avenue is unbearable,noise
Sewage water is leaking on Maple Avenue street,sewage
Please control noise at Birch Avenue during nights,noise
Overflowing garbage bins at 5th Avenue need cleaning,garbage
Garbage dumping near 5th Avenue is causing health issues,garbage
Constant water leakage on Cedar Street is wasting water,water_leakage
Garbage dumping near Pine Road is causing health issues,garbage
Poor lighting on Birch Avenue at night is dangerous,streetlight
Road is cracked and unsafe on Park Lane,road_damage
Huge pothole near Elm Street needs urgent repair,pothole
Fix water leakage issue on Maple Avenue immediately,water_leakage
Fix public sanitation issues at Elm Street,sanitation
Sanitation problem near Maple Avenue market,sanitation
Children cannot play at Birch Avenue park due to trash,park_maintenance
Overflowing garbage bins at Birch Avenue need cleaning,garbage
Loud noise from construction site at Oak Street is disturbing,noise
There is a large pothole on Birch Avenue causing danger,pothole
High noise levels from Maple Avenue factory,noise
There is a major water pipe leak on Cedar Street,water_leakage
Damaged road surface on Park Lane needs fixing,road_damage
Damaged road surface on Birch Avenue needs fixing,road_damage
Public toilet near 5th Avenue is dirty and unusable,sanitation
Repair the damaged road near Pine Road,road_damage
Constant noise near Elm Street affecting residents,noise
Sanitation facilities at Elm Street need improvement,sanitation
Garbage is not collected for weeks in Pine Road,garbage
Water leakage near 5th Avenue has damaged the street,water_leakage
Park maintenance is poor at 5th Avenue,park_maintenance
Traffic signals on Park Lane are not working,traffic_signal
Sewage water is leaking on Maple Avenue street,sewage
Water leakage near Cedar Street has damaged the street,water_leakage
Broken traffic light on MG Road road causing traffic jams,traffic_signal
There is a large pothole on 5th Avenue causing danger,pothole
Poor lighting on Birch Avenue at night is dangerous,streetlight
Open sewage on Maple Avenue is a health hazard,sewage
Potholes are damaging vehicles on Park Lane,pothole
Clean the park area near Cedar Street,park_maintenance
Many street lights off on 5th Avenue road,streetlight
Fix streetlight on MG Road quickly for safety,streetlight
Noise pollution from Elm Street is unbearable,noise
Poor lighting on Elm Street at night is dangerous,streetlight
Dark street due to faulty streetlights on 5th Avenue,streetlight
Please control noise at Birch Avenue during nights,noise
Road is cracked and unsafe on Park Lane,road_damage
Garbage dumping near Birch Avenue is causing health issues,garbage
High noise levels from Cedar Street factory,noise
Many potholes along Park Lane street making it unsafe,pothole
Noise pollution from Oak Street is unbearable,noise
Dark street due to faulty streetlights on Cedar Street,streetlight
Sanitation facilities at MG Road need improvement,sanitation
Please clean garbage from Cedar Street street,garbage
Poor lighting on Pine Road at night is dangerous,streetlight
Traffic signals are malfunctioning at Birch Avenue intersection,traffic_signal
There is a large pothole on Maple Avenue causing danger,pothole
Road is cracked and unsafe on Cedar Street,road_damage
Garbage dumping near Pine Road is causing health issues,garbage
Street lights are not working properly at Oak Street,streetlight
Water leakage near Cedar Street has damaged the street,water_leakage
Garbage is not collected for weeks in Maple Avenue,garbage
Constant noise near Oak Street affecting residents,noise
Fix sewage leakage near Elm Street immediately,sewage
Sewage water stagnating on Cedar Street road,sewage
Constant noise near Elm Street affecting residents,noise
Many potholes along Elm Street street making it unsafe,pothole
Public toilet near MG Road is dirty and unusable,sanitation
Dark street due to faulty streetlights on Cedar Street,streetlight
Please clean garbage from Cedar Street street,garbage
Road potholes and cracks on Park Lane,road_damage
Constant water leakage on 5th Avenue is wasting water,water_leakage
Fix sewage leakage near Pine Road immediately,sewage
Many street lights off on MG Road road,streetlight
Many street lights off on Maple Avenue road,streetlight
Children cannot play at Park Lane park due to trash,park_maintenance
Garbage dumping near Elm Street is causing health issues,garbage
High noise levels from Maple Avenue factory,noise
Many street lights off on Maple Avenue road,streetlight
Please control noise at Park Lane during nights,noise
Park facilities at Elm Street need repair,park_maintenance
Garbage is not collected for weeks in Birch Avenue,garbage
Urgent repair needed for traffic lights at Park Lane,traffic_signal
Many potholes along Birch Avenue street making it unsafe,pothole
Urgent repair needed for traffic lights at MG Road,traffic_signal
There is a large pothole on 5th Avenue causing danger,pothole
Overflowing garbage bins at Pine Road need cleaning,garbage
Many street lights off on Main Street road,streetlight
Garbage dumping near 5th Avenue is causing health issues,garbage
Traffic signals are malfunctioning at Park Lane intersection,traffic_signal
Many potholes along Cedar Street street making it unsafe,pothole
Garbage piles near Cedar Street are attracting rats,garbage
Water leakage near Elm Street has damaged the street,water_leakage
Fix sewage leakage near Elm Street immediately,sewage
Dark street due to faulty streetlights on Cedar Street,streetlight
Noise pollution from Park Lane is unbearable,noise
Park facilities at Main Street need repair,park_maintenance
Dangerous pothole on MG Road road is causing accidents,pothole
Unsafe road conditions on Cedar Street street,road_damage
Water leakage near 5th Avenue has damaged the street,water_leakage
The park near Birch Avenue is full of broken benches and trash,park_maintenance
Traffic signals on Pine Road are not working,traffic_signal
Constant noise near Cedar Street affecting residents,noise
Sanitation facilities at Elm Street need improvement,sanitation
Damaged road surface on MG Road needs fixing,road_damage
Dangerous pothole on Pine Road road is causing accidents,pothole
Poor lighting on Maple Avenue at night is dangerous,streetlight
Constant noise near Park Lane affecting residents,noise
Open sewage on Pine Road is a health hazard,sewage
Please control noise at Maple Avenue during nights,noise
Constant noise near Elm Street affecting residents,noise
Traffic signals on Park Lane are not working,traffic_signal
Road potholes and cracks on Pine Road,road_damage
High noise levels from Maple Avenue factory,noise
Water is leaking from the pipe near Park Lane,water_leakage
Toilet cleanliness is poor at Main Street park,sanitation
There is a large pothole on 5th Avenue causing danger,pothole
Sewage water is leaking on Pine Road street,sewage
Sewage smell in the alley near Oak Street is unbearable,sewage
Clean the park area near MG Road,park_maintenance
Repair the damaged road near Cedar Street,road_damage
Garbage is not collected for weeks in Cedar Street,garbage
Noise pollution from Pine Road is unbearable,noise
Dark street due to faulty streetlights on 5th Avenue,streetlight
Road potholes and cracks on Birch Avenue,road_damage
Repair the damaged road near Elm Street,road_damage
Road is cracked and unsafe on MG Road,road_damage
Repair the damaged road near Pine Road,road_damage
Traffic signal timing is wrong on Elm Street,traffic_signal
Garbage piles near 5th Avenue are attracting rats,garbage
Potholes are damaging vehicles on MG Road,pothole
Road is cracked and unsafe on Main Street,road_damage
Broken traffic light on Park Lane road causing traffic jams,traffic_signal
Sewage smell in the alley near Elm Street is unbearable,sewage
Traffic signals on Cedar Street are not working,traffic_signal
Sewage smell in the alley near Elm Street is unbearable,sewage
Road is cracked and unsafe on Pine Road,road_damage
Sewage water stagnating on Park Lane road,sewage
Road potholes and cracks on Birch Avenue,road_damage
Unsafe road conditions on Cedar Street street,road_damage
Please control noise at Pine Road during nights,noise
Overflowing garbage bins at Park Lane need cleaning,garbage
High noise levels from Pine Road factory,noise
Fix public sanitation issues at 5th Avenue,sanitation
Damaged road surface on Main Street needs fixing,road_damage
Urgent repair needed for traffic lights at Park Lane,traffic_signal
Damaged road surface on Park Lane needs fixing,road_damage
There is a major water pipe leak on MG Road,water_leakage
Clean the park area near Park Lane,park_maintenance
Sewage water is leaking on Birch Avenue street,sewage
Broken traffic light on Cedar Street road causing traffic jams,traffic_signal
Damaged road surface on Birch Avenue needs fixing,road_damage
Traffic signal timing is wrong on Cedar Street,traffic_signal
Garbage dumping near 5th Avenue is causing health issues,garbage
There is a major water pipe leak on Birch Avenue,water_leakage
High noise levels from Pine Road factory,noise
Overflowing garbage bins at Pine Road need cleaning,garbage
Noise pollution from Pine Road is unbearable,noise
Open sewage on Cedar Street is a health hazard,sewage
High noise levels from MG Road factory,noise
Many street lights off on 5th Avenue road,streetlight
Poor lighting on Maple Avenue at night is dangerous,streetlight
Potholes are damaging vehicles on Elm Street,pothole
Garbage dumping near Park Lane is causing health issues,garbage
Traffic signals are malfunctioning at Maple Avenue intersection,traffic_signal
Dangerous pothole on Main Street road is causing accidents,pothole
High noise levels from 5th Avenue factory,noise
Please clean garbage from MG Road street,garbage
Many potholes along Park Lane street making it unsafe,pothole
Sewage water is leaking on Maple Avenue street,sewage
Sewage water stagnating on Oak Street road,sewage
Sewage water stagnating on Cedar Street road,sewage
Traffic signal timing is wrong on Birch Avenue,traffic_signal
Urgent repair needed for traffic lights at Maple Avenue,traffic_signal
Fix sewage leakage near Oak Street immediately,sewage
Sewage smell in the alley near Park Lane is unbearable,sewage
High noise levels from 5th Avenue factory,noise
Sanitation facilities at Elm Street need improvement,sanitation
Traffic signals are malfunctioning at Main Street intersection,traffic_signal
Please clean garbage from MG Road street,garbage
Many potholes along Cedar Street street making it unsafe,pothole
Fix sewage leakage near Pine Road immediately,sewage
Many potholes along Maple Avenue street making it unsafe,pothole
Water leakage near Oak Street has damaged the street,water_leakage
Loud noise from construction site at MG Road is disturbing,noise
Sanitation problem near Cedar Street market,sanitation
High noise levels from Pine Road factory,noise
There is a major water pipe leak on Maple Avenue,water_leakage
Traffic signal timing is wrong on Cedar Street,traffic_signal
There is a major water pipe leak on Cedar Street,water_leakage
High noise levels from Elm Street factory,noise
Park facilities at Main Street need repair,park_maintenance
Street lights are not working properly at Park Lane,streetlight
Sewage water stagnating on Birch Avenue road,sewage
Dark street due to faulty streetlights on Main Street,streetlight
There is a major water pipe leak on Main Street,water_leakage
There is a large pothole on Elm Street causing danger,pothole
There is a large pothole on Birch Avenue causing danger,pothole
Dangerous pothole on Birch Avenue road is causing accidents,pothole
Fix streetlight on MG Road quickly for safety,streetlight
Garbage piles near Maple Avenue are attracting rats,garbage
There is a large pothole on Cedar Street causing danger,pothole
Water is leaking from the pipe near Oak Street,water_leakage
Unsafe road conditions on Elm Street street,road_damage
Sanitation problem near MG Road market,sanitation
Constant water leakage on Main Street is wasting water,water_leakage
Poor lighting on Main Street at night is dangerous,streetlight
Street lights are not working properly at Pine Road,streetlight
Sewage smell in the alley near Elm Street is unbearable,sewage
High noise levels from Elm Street factory,noise
Loud noise from construction site at MG Road is disturbing,noise
Water leakage near Maple Avenue has damaged the street,water_leakage
The park near Pine Road is full of broken benches and trash,park_maintenance
Park facilities at Elm Street need repair,park_maintenance
Please clean garbage from Cedar Street street,garbage
Clean the park area near Oak Street,park_maintenance
Children cannot play at Birch Avenue park due to trash,park_maintenance
Repair the damaged road near Birch Avenue,road_damage
Fix sewage leakage near Oak Street immediately,sewage
Dark street due to faulty streetlights on Cedar Street,streetlight
Please clean garbage from Elm Street street,garbage
Sewage smell in the alley near Pine Road is unbearable,sewage
Loud noise from construction site at Maple Avenue is disturbing,noise
Sanitation problem near Elm Street market,sanitation
Traffic signals on Main Street are not working,traffic_signal
Dangerous pothole on 5th Avenue road is causing accidents,pothole
Public toilet near 5th Avenue is dirty and unusable,sanitation
Sewage smell in the alley near Cedar Street is unbearable,sewage
Sanitation facilities at Cedar Street need improvement,sanitation
Huge pothole near MG Road needs urgent repair,pothole
Dangerous pothole on Maple Avenue road is causing accidents,pothole
Fix water leakage issue on Main Street immediately,water_leakage
Huge pothole near Cedar Street needs urgent repair,pothole
Fix public sanitation issues at MG Road,sanitation
Fix water leakage issue on Main Street immediately,water_leakage
Please control noise at Oak Street during nights,noise
High noise levels from Park Lane factory,noise
Traffic signals are malfunctioning at Maple Avenue intersection,traffic_signal
Clean the park area near Cedar Street,park_maintenance
Repair the damaged road near Park Lane,road_damage
Poor lighting on Park Lane at night is dangerous,streetlight
Many street lights off on 5th Avenue road,streetlight
Dangerous pothole on Main Street road is causing accidents,pothole
Street lights are not working properly at Park Lane,streetlight
Constant noise near Main Street affecting residents,noise
The park near Main Street is full of broken benches and trash,park_maintenance
Water leakage near Oak Street has damaged the street,water_leakage
There is a large pothole on 5th Avenue causing danger,pothole
Sewage smell in the alley near Park Lane is unbearable,sewage
Street lights are not working properly at Oak Street,streetlight
Garbage is not collected for weeks in Birch Avenue,garbage
Broken traffic light on Pine Road road causing traffic jams,traffic_signal
Urgent repair needed for traffic lights at Park Lane,traffic_signal
Repair the damaged road near Park Lane,road_damage
